Ano Modelo,Cor,Código FIPE,Grupo,Modelo,Montadora,Pátio de Veículos,Situação,Unidade de Operação,Valor FIPE,Idade,Categoria
2024,PRETA,011222-4,ASSINATURA - KAPO,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,PRETA,011222-4,KM LIVRE,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,ASSINATURA,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,KM FLEXÍVEL,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,KAPÔ PRÓPRIO,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,KM FLEXÍVEL,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,BRANCA,011222-4,KM FLEXÍVEL,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,TERCEIRIZAÇÃO DE FROTAS,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,BRANCA,011222-4,KM LIVRE,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,KAPÔ SEDE,DISPONÍVEL,KAPÔ,65774,2,AUTOMOVEL
2024,BRANCA,011222-4,KAPÔ PRÓPRIO,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
